request_id,phase_id,cache_hit_rate,context_size,cached_tokens,unique_tokens,output_tokens,ttft,ttlt,generation_time,total_time,launch_time,finish_time,concurrency_level,itl,prefill_complete_time,token_timestamps,tokens_per_chunk
P5_c26_r162,SUSTAINED_P5,97,64000,61952,2048,1,5.87143087387085,5.87143087387085,0.0005567073822021484,5.871989965438843,1766196712.485211,1766196718.3572009,26,0.0,1766196718.3566418,[1766196718.356643],[1]
P5_c26_r165,SUSTAINED_P5,97,64000,61952,2048,1,5.124296426773071,5.124296426773071,0.0010323524475097656,5.125330686569214,1766196713.2318387,1766196718.3571694,26,0.0,1766196718.3561351,[1766196718.3561356],[1]
P5_c26_r164,SUSTAINED_P5,97,64000,61952,2048,1,5.786558151245117,5.786558151245117,0.002189159393310547,5.788751840591431,1766196712.5682023,1766196718.356954,26,0.0,1766196718.3547604,[1766196718.3547614],[1]
P5_c26_r168,SUSTAINED_P5,97,64000,61952,2048,1,5.432604789733887,5.432604789733887,0.0009949207305908203,5.433603763580322,1766196713.369565,1766196718.8031688,26,0.0,1766196718.8021698,[1766196718.802171],[1]
P5_c26_r160,SUSTAINED_P5,97,64000,61952,2048,1,5.790889263153076,5.790889263153076,0.000988006591796875,5.791880369186401,1766196711.7686849,1766196717.5605652,26,0.0,1766196717.5595741,[1766196717.5595748],[1]
P5_c26_r167,SUSTAINED_P5,97,64000,61952,2048,1,5.483182907104492,5.483182907104492,0.0009510517120361328,5.484137773513794,1766196713.319679,1766196718.8038168,26,0.0,1766196718.802862,[1766196718.8028631],[1]
P5_c26_r163,SUSTAINED_P5,97,64000,61952,2048,1,5.828783273696899,5.828783273696899,0.0014963150024414062,5.8302834033966064,1766196712.5268464,1766196718.3571298,26,0.0,1766196718.3556297,[1766196718.3556309],[1]
P5_c26_r147,SUSTAINED_P5,97,64000,61952,2048,1,5.8816797733306885,5.8816797733306885,0.0010094642639160156,5.882693290710449,1766196709.374539,1766196715.2572322,26,0.0,1766196715.2562187,[1766196715.25622],[1]
P5_c26_r149,SUSTAINED_P5,97,64000,61952,2048,1,5.79860782623291,5.79860782623291,0.0015156269073486328,5.800127029418945,1766196709.4569468,1766196715.2570739,26,0.0,1766196715.2555547,[1766196715.2555556],[1]
P5_c26_r151,SUSTAINED_P5,97,64000,61952,2048,1,5.87453556060791,5.87453556060791,0.0009589195251464844,5.875497817993164,1766196710.1700764,1766196716.0455742,26,0.0,1766196716.044612,[1766196716.044613],[1]
